ID,GZBBGA,strike,dip_dir,dip_angle,dot_strike_tick,angle_deg,label_along_strike_m,label_perp_strike_m
346,202001,90.0,0,30,6.123233995736766e-17,90.0,270.0,0.0
349,202001,90.0,0,49,6.123233995736766e-17,90.0,270.0,0.0
351,202001,40.0,130,65,-1.1102230246251565e-16,90.0,270.0,0.0
355,202001,63.0,333,82,-1.6653345369377348e-16,90.0,269.99999999999994,-4.263256414560601e-14
357,202001,80.0,170,58,-1.1102230246251565e-16,90.0,269.99999999999994,-4.973799150320701e-14
360,202001,87.0,357,51,-4.0245584642661925e-16,89.99999999999997,269.99999999999994,-1.1013412404281553e-13
363,202001,90.0,180,48,6.123233995736766e-17,90.0,270.0,3.3065463576978534e-14
365,202001,127.0,37,38,-1.6653345369377348e-16,90.0,270.0,-5.684341886080802e-14
370,202001,72.0,342,87,-1.6653345369377348e-16,90.0,270.0,-1.4210854715202004e-14
373,202001,87.0,177,60,-1.5959455978986625e-16,90.0,269.99999999999994,-4.263256414560601e-14
376,202001,20.0,110,37,0.0,90.0,270.0,0.0
379,202001,113.0,203,55,2.220446049250313e-16,89.99999999999999,269.99999999999994,2.842170943040401e-14
387,202001,98.0,8,73,8.326672684688674e-17,90.0,270.0,4.263256414560601e-14
386,202001,78.0,348,70,-3.885780586188048e-16,89.99999999999999,269.9999999999999,-9.237055564881302e-14
390,202001,70.0,160,45,5.551115123125783e-17,90.0,270.0,0.0
378,202001,74.0,344,46,2.220446049250313e-16,89.99999999999999,270.0,7.105427357601002e-14
377,202001,80.0,170,70,-1.1102230246251565e-16,90.0,269.99999999999994,-4.973799150320701e-14
375,202001,104.0,14,18,-5.551115123125783e-17,90.0,270.00000000000006,-2.1316282072803006e-14
85,202005,137.0,47,62,5.551115123125783e-17,90.0,270.0,0.0
86,202005,93.0,183,44,2.7755575615628914e-16,89.99999999999999,269.99999999999994,5.1514348342607263e-14
93,202005,116.0,26,53,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
95,202005,111.0,21,42,0.0,90.0,270.0,2.842170943040401e-14
97,202005,111.0,201,55,-1.1102230246251565e-16,90.0,270.0,-7.105427357601002e-14
98,202005,116.0,26,54,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
99,202005,116.0,26,50,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
100,202005,116.0,26,52,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
102,202005,84.0,174,71,2.7755575615628914e-16,89.99999999999999,269.99999999999994,8.171241461241152e-14
137,202001,140.0,230,32,0.0,90.0,270.0,0.0
145,202005,103.0,193,72,5.551115123125783e-17,90.0,270.0,7.105427357601002e-15
151,202005,112.0,22,80,-5.551115123125783e-17,90.0,270.0,-1.4210854715202004e-14
153,202005,97.0,187,40,5.551115123125783e-17,90.0,270.0,7.105427357601002e-15
172,202005,116.0,26,55,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
152,202005,103.0,193,40,5.551115123125783e-17,90.0,270.0,7.105427357601002e-15
169,202005,115.0,205,48,5.551115123125783e-17,90.0,270.0,0.0
172,202005,126.0,36,28,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
192,202001,70.0,340,32,2.220446049250313e-16,89.99999999999999,270.0,9.947598300641403e-14
110,202005,91.0,181,50,-1.5959455978986625e-16,90.0,270.0,-2.4868995751603507e-14
117,202005,88.0,358,52,2.5673907444456745e-16,89.99999999999999,270.0,6.750155989720952e-14
124,202005,134.0,44,60,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
125,202005,116.0,206,54,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
117,202001,117.0,27,31,5.551115123125783e-17,90.0,269.99999999999994,-1.4210854715202004e-14
123,202001,118.0,28,32,-1.1102230246251565e-16,90.0,270.0,-4.263256414560601e-14
124,202001,108.0,18,43,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
